Match Id,Match,Bowling_team,Bowler_name,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Australia,David Wiese,1,0,15,1,15,3,2,1,1,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Australia,Ben Shikongo,1,0,19,0,19,1,3,1,0,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Australia,Gerhard Erasmus,1,0,6,0,6,5,0,1,0,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Australia,Jack Brassell,0.4,0,14,0,21,1,2,1,0,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Canada,Shaheen Shah Afridi,4,0,21,1,5.25,16,2,1,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Canada,Naseem Shah,4,0,24,1,6,13,2,1,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Canada,Mohammad Amir,4,0,13,2,3.25,17,2,0,0,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Canada,Haris Rauf,4,0,26,2,6.5,14,1,1,3,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Canada,Imad Wasim,4,0,19,0,4.75,16,0,2,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Pakistan,Kaleem Sana,3,0,21,0,7,8,1,0,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Pakistan,Jeremy Gordon,3.3,0,17,1,4.85,11,1,0,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Pakistan,Dilon Heyliger,4,0,18,2,4.5,10,0,0,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Pakistan,Saad Bin Zafar,4,0,23,0,5.75,7,1,0,1,0
T20I # 2665,Canada vs Pakistan-22Nd-Match-Group-A-1415722,Pakistan,Junaid Siddiqui,3,0,28,0,9.33,3,0,2,1,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,South Africa,Tanzim Hasan Sakib,4,0,18,3,4.5,17,1,1,2,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,South Africa,Taskin Ahmed,4,0,19,2,4.75,14,1,1,0,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,South Africa,Mustafizur Rahman,4,0,18,0,4.5,16,1,1,1,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,South Africa,Rishad Hossain,4,0,32,1,8,10,2,2,0,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,South Africa,Shakib Al Hasan,1,0,6,0,6,1,0,0,0,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,South Africa,Mahmudullah,3,0,17,0,5.66,8,0,1,0,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,Bangladesh,Marco Jansen,4,0,17,0,4.25,17,2,0,2,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,Bangladesh,Kagiso Rabada,4,0,19,2,4.75,12,2,0,0,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,Bangladesh,Ottneil Baartman,4,0,27,0,6.75,11,2,1,0,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,Bangladesh,Keshav Maharaj,4,0,27,3,6.75,12,0,2,2,0
T20I # 2664,Bangladesh vs South-Africa-21St-Match-Group-D-1415721,Bangladesh,Anrich Nortje,4,0,17,2,4.25,14,1,0,1,1
T20I # 2659,Oman vs Scotland-20Th-Match-Group-B-1415720,Oman,Mark Watt,4,0,25,1,6.25,8,2,0,2,0
